year,month,borough,number_of_violations,min_violations,max_violations
2012,2,Queens,611.0,0.0,395.0
2012,3,Queens,557.0,1.0,340.0
2012,4,Queens,604.0,5.0,386.0
2012,5,Queens,513.0,3.0,316.0
2012,6,Queens,603.0,1.0,316.0
2012,7,Queens,657.0,4.0,409.0
2012,8,Queens,510.0,1.0,308.0
2012,9,Queens,527.0,2.0,217.0
2012,10,Queens,720.0,0.0,437.0
2012,12,Queens,658.0,0.0,455.0
2013,1,Queens,707.0,4.0,399.0
2013,2,Queens,645.0,0.0,247.0
2013,3,Queens,534.0,2.0,151.0
2013,4,Queens,859.0,5.0,442.0
2013,5,Queens,506.0,2.0,248.0
2013,6,Queens,575.0,2.0,150.0
2013,7,Queens,628.0,3.0,265.0
2013,8,Queens,363.0,0.0,143.0
2013,9,Queens,423.0,1.0,198.0
2013,10,Queens,957.0,7.0,358.0
2013,11,Queens,366.0,0.0,121.0
2013,12,Queens,569.0,0.0,269.0
2014,1,Queens,676.0,3.0,318.0
2014,2,Queens,578.0,3.0,91.0
2014,3,Queens,1002.0,15.0,417.0
2014,4,Queens,757.0,17.0,184.0
2014,5,Queens,1386.0,29.0,446.0
2014,6,Queens,1199.0,15.0,437.0
2014,7,Queens,857.0,11.0,274.0
2014,8,Queens,909.0,7.0,301.0
2014,9,Queens,977.0,8.0,339.0
2014,10,Queens,1110.0,11.0,362.0
2014,11,Queens,2029.0,32.0,539.0
2014,12,Queens,590.0,0.0,116.0
2015,1,Queens,654.0,0.0,164.0
2015,2,Queens,600.0,3.0,81.0
2015,3,Queens,884.0,24.0,121.0
2015,4,Queens,1003.0,23.0,161.0
2015,5,Queens,828.0,3.0,103.0
2015,6,Queens,993.0,26.0,149.0
2015,7,Queens,698.0,6.0,108.0
2015,8,Queens,911.0,20.0,101.0
2015,9,Queens,817.0,8.0,147.0
2015,10,Queens,987.0,13.0,130.0
2015,11,Queens,2085.0,52.0,175.0
2015,12,Queens,735.0,19.0,85.0
2016,1,Queens,849.0,27.0,93.0
2016,2,Queens,903.0,23.0,110.0
2016,3,Queens,941.0,22.0,152.0
2016,4,Queens,848.0,18.0,109.0
2016,5,Queens,872.0,35.0,84.0
2016,6,Queens,982.0,19.0,105.0
2016,7,Queens,763.0,5.0,103.0
2016,8,Queens,819.0,14.0,121.0
2016,9,Queens,926.0,23.0,88.0
2016,10,Queens,1694.0,48.0,199.0
2012,1,Staten Island,349.0,42.0,237.0
2012,2,Staten Island,398.0,60.0,256.0
2012,3,Staten Island,288.0,67.0,150.0
2012,4,Staten Island,266.0,51.0,124.0
2012,5,Staten Island,349.0,98.0,141.0
2012,6,Staten Island,288.0,80.0,110.0
2012,7,Staten Island,296.0,28.0,168.0
2012,8,Staten Island,285.0,45.0,148.0
2012,9,Staten Island,431.0,79.0,201.0
2012,10,Staten Island,316.0,73.0,144.0
2012,12,Staten Island,187.0,21.0,108.0
2013,1,Staten Island,204.0,64.0,70.0
2013,2,Staten Island,315.0,70.0,169.0
2013,3,Staten Island,341.0,71.0,139.0
2013,4,Staten Island,444.0,101.0,222.0
2013,5,Staten Island,186.0,52.0,81.0
2013,6,Staten Island,275.0,72.0,114.0
2013,7,Staten Island,239.0,26.0,145.0
2013,8,Staten Island,208.0,1.0,177.0
2013,9,Staten Island,200.0,0.0,133.0
2013,10,Staten Island,320.0,21.0,135.0
2013,11,Staten Island,417.0,60.0,204.0
2013,12,Staten Island,344.0,19.0,244.0
