year,month,borough,collision_count,min_collision_count,max_collision_count,injured_count,min_injured_count,max_injured_count,killed_count,min_killed_count,max_killed_count
2015,12,Manhattan,3774,1,1,620,0,7,1,0,1
2016,1,Manhattan,3207,1,1,493,0,7,3,0,1
2016,2,Manhattan,3446,1,1,504,0,6,4,0,1
2016,3,Manhattan,3219,1,1,598,0,7,3,0,1
2016,4,Manhattan,3126,1,1,608,0,5,0,0,0
2016,5,Manhattan,3283,1,1,581,0,9,2,0,1
2016,6,Manhattan,2656,1,1,488,0,5,6,0,1
2016,7,Manhattan,2327,1,1,418,0,5,2,0,1
2016,8,Manhattan,2014,1,1,389,0,6,1,0,1
2016,9,Manhattan,1908,1,1,332,0,5,3,0,1
2016,10,Manhattan,2088,1,1,405,0,10,6,0,1
2012,1,NYC,13166,1,19,3194,0,17,13,0,1
2012,2,NYC,12194,1,18,2971,0,11,12,0,1
2012,3,NYC,13888,1,12,3508,0,13,13,0,1
2012,4,NYC,13839,1,13,3569,0,10,17,0,1
2012,5,NYC,15115,1,15,3752,0,11,24,0,2
2012,6,NYC,15214,1,14,3739,0,12,17,0,1
2012,7,NYC,14142,1,19,3674,0,15,15,0,1
2012,8,NYC,14205,1,19,3565,0,11,19,0,2
2012,9,NYC,13819,1,19,3609,0,13,20,0,1
2012,10,NYC,14152,1,16,3510,0,12,16,0,1
2012,11,NYC,13332,1,26,3117,0,14,13,0,1
2012,12,NYC,14345,1,13,3572,0,16,20,0,2
2013,1,NYC,13092,1,12,3077,0,9,22,0,3
2013,2,NYC,12174,1,15,2713,0,11,17,0,1
2013,3,NYC,13848,1,22,3220,0,13,18,0,3
2013,4,NYC,13809,1,17,3399,0,16,11,0,2
2013,5,NYC,15583,1,17,3818,0,12,10,0,1
2013,6,NYC,15177,1,17,3900,0,17,14,0,1
2013,7,NYC,14721,1,20,3972,0,25,19,0,1
2013,8,NYC,14085,1,21,3777,0,9,26,0,2
2013,9,NYC,14416,1,15,3906,0,43,20,0,2
2013,10,NYC,15062,1,19,3755,0,13,18,0,1
2013,11,NYC,15083,1,19,3592,0,15,21,0,1
2013,12,NYC,14851,1,15,3330,0,14,22,0,2
2014,1,NYC,14200,1,13,3038,0,8,15,0,2
2014,2,NYC,13595,1,14,2396,0,16,7,0,1
2014,3,NYC,13520,1,1,3256,0,13,16,0,1
2014,4,NYC,13788,1,1,3386,0,10,19,0,4
2014,5,NYC,15223,1,1,3809,0,17,19,0,2
2014,6,NYC,15472,1,1,4218,0,16,16,0,1
2014,7,NYC,14545,1,1,3868,0,13,25,0,1
2014,8,NYC,14151,1,1,3684,0,15,14,0,1
2014,9,NYC,14939,1,1,3731,0,11,20,0,2
2014,10,NYC,15307,1,1,4049,0,15,14,0,1
2014,11,NYC,14285,1,1,3583,0,11,18,0,1
2014,12,NYC,14730,1,1,3520,0,14,12,0,1
2015,1,NYC,13775,1,1,2901,0,24,12,0,1
2015,2,NYC,13429,1,1,2533,0,22,14,0,1
2015,3,NYC,15198,1,1,3027,0,12,7,0,2
2015,4,NYC,13967,1,1,3176,0,32,17,0,2
2015,5,NYC,16033,1,1,3963,0,10,26,0,1
2015,6,NYC,16299,1,1,4022,0,22,17,0,1
2015,7,NYC,15965,1,1,3945,0,10,16,0,3
2015,8,NYC,15702,1,1,3908,0,19,18,0,1
2015,9,NYC,15494,1,1,3779,0,11,11,0,1
2015,10,NYC,16826,1,1,4036,0,12,24,0,3
2015,11,NYC,15268,1,1,3658,0,10,22,0,1
2015,12,NYC,15870,1,1,3778,0,10,19,0,1
2016,1,NYC,15269,1,1,3029,0,9,13,0,1
2016,2,NYC,14323,1,1,3136,0,7,14,0,1
2016,3,NYC,13532,1,1,3517,0,9,8,0,1
2016,4,NYC,12444,1,1,3623,0,8,11,0,1
2016,5,NYC,13148,1,1,3767,0,15,12,0,2
2016,6,NYC,11252,1,1,3329,0,19,21,0,3
2016,7,NYC,10071,1,1,3123,0,10,8,0,1
2016,8,NYC,9169,1,1,2811,0,11,11,0,2
2016,9,NYC,9179,1,1,2867,0,9,9,0,1
2016,10,NYC,9700,1,1,2763,0,10,12,0,1
2012,1,Queens,3527,1,19,849,0,17,2,0,1
2012,2,Queens,3151,1,12,817,0,11,4,0,1
2012,3,Queens,3700,1,12,913,0,13,4,0,1
2012,4,Queens,3551,1,11,895,0,10,3,0,1
2012,5,Queens,3852,1,11,1026,0,7,8,0,2
2012,6,Queens,3989,1,9,1040,0,9,8,0,1
2012,7,Queens,3727,1,12,973,0,10,3,0,1
2012,8,Queens,3691,1,15,1029,0,11,1,0,1
2012,9,Queens,3621,1,10,965,0,13,6,0,1
2012,10,Queens,3695,1,12,978,0,9,6,0,1
2012,11,Queens,3725,1,26,906,0,12,3,0,1
2012,12,Queens,3898,1,10,990,0,7,8,0,1
2013,1,Queens,3630,1,12,861,0,7,7,0,1
2013,2,Queens,3208,1,12,672,0,9,7,0,1
2013,3,Queens,3785,1,10,900,0,8,3,0,1
2013,4,Queens,3690,1,11,862,0,8,1,0,1
2013,5,Queens,4124,1,11,1079,0,12,5,0,1
2013,6,Queens,3901,1,10,1014,0,17,1,0,1
2013,7,Queens,3987,1,14,1032,0,12,8,0,1
2013,8,Queens,3647,1,13,1017,0,9,9,0,2
2013,9,Queens,3891,1,11,1050,0,8,14,0,2
2013,10,Queens,4212,1,19,1029,0,9,4,0,1
2013,11,Queens,4240,1,10,932,0,9,6,0,1
2013,12,Queens,4135,1,15,961,0,10,9,0,2
2014,1,Queens,4054,1,10,820,0,7,2,0,1
2014,2,Queens,3957,1,14,666,0,16,2,0,1
2014,3,Queens,3784,1,1,891,0,9,4,0,1
2014,4,Queens,3795,1,1,884,0,7,7,0,4
2014,5,Queens,4136,1,1,1069,0,11,4,0,1
2014,6,Queens,4295,1,1,1092,0,16,6,0,1
2014,7,Queens,4043,1,1,1077,0,7,10,0,1
2014,8,Queens,3861,1,1,975,0,8,6,0,1
2014,9,Queens,4121,1,1,969,0,7,6,0,2
2014,10,Queens,4308,1,1,1144,0,10,4,0,1
2014,11,Queens,4013,1,1,1034,0,8,5,0,1
2014,12,Queens,4101,1,1,1000,0,12,3,0,1
2015,1,Queens,4033,1,1,843,0,7,5,0,1
2015,2,Queens,3716,1,1,690,0,9,4,0,1
2015,3,Queens,4216,1,1,879,0,9,1,0,1
2015,4,Queens,3650,1,1,853,0,32,8,0,2
2015,5,Queens,4307,1,1,1153,0,7,5,0,1
2015,6,Queens,4557,1,1,1247,0,22,4,0,1
2015,7,Queens,4452,1,1,1135,0,10,7,0,3
2015,8,Queens,4285,1,1,1094,0,7,6,0,1
2015,9,Queens,4340,1,1,1054,0,11,1,0,1
2015,10,Queens,4671,1,1,1203,0,12,7,0,1
2015,11,Queens,4199,1,1,1044,0,7,6,0,1
2015,12,Queens,4377,1,1,1071,0,6,7,0,1
